Variant,Name,Skill Points
ACH-E,ACH-E,70
COM-1D,Rage Inducer,88
COM-1D,COM-1D,91
FLE-17,FLE-17,0
FLE-20,Ankle Biter,91
FS9-A,FS9-A,91
FS9-E,FS9-E,91
FS9-H,FS9-H,90
FS9-S(C),FS9-S(C),0
INC-5(C),INC-5(C),0
JR7-IIC,JR7-IIC,5
JR7-IIC-2,JR7-IIC-2,55
JVN-10P,JVN-10P,0
JVN-11A,JVN-11A,30
JVN-11F,JVN-11F,91
KFX-C,ATM 3 x 6,91
KFX-G,UAC20,88
KFX-P,KFX-P,3
KFX-PR,KFX-PR,91
KFX-S,LB-X 10,91
LCT-1V,LCT-1V,91
LCT-3S,LCT-3S,20
MLX-D,MLX-D,0
MLX-ED,MLX-ED,61
MLX-G,Comp MistLyn,91
OSR-2V,OSR-2V,0
PIR-A,Comp Piranha,91
RVN-3L,RVN-3L,16
RVN-H,RVN-H,31
SDR-5D,1,91
SDR-5D,3,91
SDR-5D,2,91
SDR-5D,Ddgball-HPPC,91
SDR-5D(P),SDR-5D(P),91
SDR-5K,SDR-5K,91
SDR-5V,SDR-5V,91
SDR-A,SDR-A,91
UM-R60L,UM-R60L,27
UM-R60L(S),Snowballs,91
UM-R63,UM-R63,0
UM-R68,UM-R68,6
UM-R80,UM-R80,0
UM-R80,UM-R80,91
UM-R80,UM-R80,62
UM-R80(L),UM-R80(L),81
ACW-1,ACW-1,91
ASN-23,Big Commando,91
BJ-2(L),BJ-2(L),80
CDA-3M(P),CDA-3M(P),0
CRB-27B,CRB-27B,91
DV-6MR,DV-6MR,91
DV-7D,DV-7D,91
HBK-4P,HBK-4P,91
HBK-GI,HBK-GI,90
HSN-8P,HSN-8P,26
NVA-S(C),NVA-S(C),91
PXH-1B,PXH-1B,91
PXH-1K(S),Snowballs---,91
PXH-7S,PXH-7S,91
SHC-D,SHC-D,0
SHC-P,SHC-P,53
SHD-2H,SHD-2H,91
SHD-2K,SHD-2K,91
STK-5S(CS),STK-5S(CS),0
STK-4N,STK-4N,50
UZL-2S,Dakka,91
UZL-6P,UZL-6P,91
UZL-BE,UZL-BE,53
VT-5S,VT-5S,91
VPR-F,VPR-F,91
ARC-T,ARC-T,91
BL-7-KNT,BL-7-KNT,91
CHP-1NB,CHP-1NB,91
CHP-INV,CHP-INV,34
CPLT-A1,CPLT-A1,91
CPLT-C4,LightsBWare,91
CRD-3R,CRD-3R,0
CRD-5K,CRD-5K,0
CRD-5M,CRD-5M,0
CRD-6T,CRD-6T,91
CRD-6T,CRD-6T,60
CRD-6T(P),CRD-6T(P),91
CRD-7L,CRD-7L,0
CRD-CR,CRD-CR,91
CRD-CR,CRD-CR,0
CRD-CR,CRD-CR,0
CRD-CR,CRD-CR,0
CTF-4X,CTF-4X,91
DRG-5N,DRG-5N,91
EBJ-B,EBJ-B,20
JM6-DD(P),JM6-DD(P),0
LBK-RL,LBK-RL,88
MAD-3R,MAD-3R,0
MDD-A,MDD-A,0
NCT-PRIME,NCT-PRIME,86
NTG-D(CS),NTG-D(CS),91
ON1-IIC-C,ON1-IIC-C,51
ON1-IIC-C(S),ON1-IIC-C(S),0
ON1-VA,ON1-VA,91
ON1-VA,ON1-VA,0
QKD-IV4,QKD-IV4,91
RFL-IIC-2,Pew-Pew,83
RGH-BLT,Best Build,0
SMN-B,SMN-B,0
SNS-D,SNS-D,73
TBR-C(C),TBR-C(C),82
TDR-5S-T,Decent,91
WHM-6D,WHM-6D,91
WHM-6R,Range,91
WHM-6R,WHM-6R,0
WHM-7S,Hippo,91
ANH-2A,ANH-2A,91
AS7-BH,AS7-BH,91
AS7-D,AS7-D,46
AS7-D-DC,AS7-D-DC,91
AS7-K3,AS7-K3,91
AS7-S(L),AS7-S(L),0
AWS-9M,AWS-9M,91
BNC-3E(S),BNC-3E(S),0
CGR-1A1,CGR-1A1,88
CGR-1A5,CGR-1A5,91
COR-7A,No LRM Dakka,91
CP-10-Q,CP-10-Q,91
DWF-C,DWF-C,0
DWF-C,DWF-C,0
DWF-PRIME,DWF-PRIME,91
DWF-UV,DWF-UV,91
EXE-A,EXE-A,91
FNR-5,Boring Name,91
HTM-27T,HTM-27T,0
HTM-27W,HTM-27W,91
KGC-000(P),KGC-000(P),0
KGC-001,More Dakka,91
MAD-4HP,MAD-4HP,91
MAD-IIC-A(S),MAD-IIC-A(S),0
MAL-1R,MAL-1R,80
MAL-2P(S),MAL-2P(S),91
MCII-4,Molten Rain,91
